Engine RPM(rpm),Intake Air Temperature(Â°C),Engine Load(%),Throttle Position(Manifold)(%),Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11
3169.5,30,90.98039246,32.54901886,,,,,,,,
3158.5,30,97.2549057,40.0,,,,,,,,
3430.25,30,95.29412079,40.39215851,,,,,,,,
3098.25,30,95.6862793,36.86274719,,,,,,,,
3257.75,30,91.76470947,27.45098114,,,,,,,,
3101.5,30,86.66667175,29.80392265,,,,,,,,
3339.0,30,97.2549057,54.11764908,,,,,,,,
3571.0,30,96.07843018,53.33333588,,,,,,,,
3833.5,30,95.6862793,52.94117737,,,,,,,,
4107.0,30,92.94117737,41.17647171,,,,,,,,
3150.75,31,99.60784149,66.66666412,,,,,,,,
3442.75,31,96.07843018,61.17647171,,,,,,,,
3675.75,31,50.58823776,39.60784531,,,,,,,,
3119.5,31,97.2549057,50.19607925,,,,,,,,
3240.5,31,94.90196228,40.39215851,,,,,,,,
3497.5,31,92.15686798,39.60784531,,,,,,,,
3716.25,31,70.98039246,36.47058868,,,,,,,,
3207.75,33,94.11764526,38.4313736,,,,,,,,
3362.5,32,92.15686798,38.4313736,,,,,,,,
3306.25,32,90.98039246,30.98039246,,,,,,,,
2623.25,30,92.54901886,32.54901886,,,,,,,,
2587.5,30,98.4313736,37.64706039,,,,,,,,
2753.0,30,98.03921509,39.2156868,,,,,,,,
2957.0,30,96.86274719,38.82352829,,,,,,,,
2353.75,30,93.33333588,31.76470566,,,,,,,,
2325.75,30,94.90196228,32.15686417,,,,,,,,
2303.0,30,93.72549438,32.15686417,,,,,,,,
1667.0,30,94.11764526,28.62745094,,,,,,,,
2378.75,30,100.0,37.64706039,,,,,,,,
2489.75,30,95.29412079,37.25490189,,,,,,,,
2117.75,30,81.96078491,26.27450943,,,,,,,,
2173.25,30,81.96078491,26.27450943,,,,,,,,
2280.25,30,94.50980377,33.33333206,,,,,,,,
2463.25,30,93.72549438,32.94117737,,,,,,,,
2571.75,30,95.6862793,36.86274719,,,,,,,,
2682.0,30,98.03921509,40.0,,,,,,,,
2927.25,30,97.2549057,39.2156868,,,,,,,,
1825.0,30,85.09803772,27.05882454,,,,,,,,
1914.0,30,85.49019623,28.62745094,,,,,,,,
2148.25,30,84.70588684,27.05882454,,,,,,,,
2355.25,30,83.52941132,28.23529434,,,,,,,,
2631.25,30,90.58823395,32.54901886,,,,,,,,
2739.0,30,92.15686798,33.33333206,,,,,,,,
2523.25,30,87.05882263,33.33333206,,,,,,,,
2000.0,30,83.92156982,27.84313774,,,,,,,,
2119.5,30,94.50980377,36.86274719,,,,,,,,
2777.25,30,94.90196228,37.25490189,,,,,,,,
2947.5,30,96.07843018,41.17647171,,,,,,,,
1833.5,30,83.52941132,27.45098114,,,,,,,,
1833.5,30,87.05882263,27.45098114,,,,,,,,
1899.0,30,87.05882263,27.45098114,,,,,,,,
2455.25,30,91.37255096,31.37254906,,,,,,,,
2503.0,30,91.76470947,33.72549057,,,,,,,,
2047.5,30,81.5686264,26.27450943,,,,,,,,
2035.0,30,81.5686264,25.88235283,,,,,,,,
2313.25,30,88.23529816,30.19607925,,,,,,,,
2223.25,30,94.50980377,33.33333206,,,,,,,,
2382.0,30,92.94117737,34.11764908,,,,,,,,
2125.75,30,95.29412079,33.72549057,,,,,,,,
2157.0,30,84.70588684,29.01960754,,,,,,,,
2322.5,30,91.37255096,31.76470566,,,,,,,,
2285.0,30,89.01960754,30.19607925,,,,,,,,
2292.75,30,92.94117737,32.54901886,,,,,,,,
2431.25,30,95.29412079,37.64706039,,,,,,,,
2605.25,30,97.2549057,42.35294342,,,,,,,,
2228.0,30,88.23529816,30.98039246,,,,,,,,
2082.0,30,94.11764526,35.68627548,,,,,,,,
2304.5,30,95.6862793,39.2156868,,,,,,,,
2296.0,30,91.37255096,30.98039246,,,,,,,,
2057.75,30,81.17647552,26.66666794,,,,,,,,
2330.25,30,93.33333588,35.68627548,,,,,,,,
2098.25,30,89.41176605,29.80392265,,,,,,,,
1473.25,30,89.01960754,37.64706039,,,,,,,,
2318.75,30,96.86274719,42.35294342,,,,,,,,
2418.75,30,97.64706421,44.31372452,,,,,,,,
2567.75,30,97.2549057,45.88235474,,,,,,,,
2623.25,30,98.4313736,43.92156982,,,,,,,,
2100.75,30,85.49019623,29.41176605,,,,,,,,
2407.75,30,94.90196228,36.86274719,,,,,,,,
2447.5,30,96.07843018,39.60784531,,,,,,,,
2437.5,30,92.15686798,34.11764908,,,,,,,,
2473.25,30,92.15686798,34.50980377,,,,,,,,
2494.5,30,92.54901886,34.90196228,,,,,,,,
2318.75,30,96.86274719,39.2156868,,,,,,,,
2425.0,30,97.2549057,49.80392075,,,,,,,,
2528.0,30,97.64706421,53.72549057,,,,,,,,
2235.75,30,91.37255096,32.54901886,,,,,,,,
2486.5,30,96.86274719,41.5686264,,,,,,,,
2519.5,30,96.47058868,42.74509811,,,,,,,,
2552.25,30,96.86274719,42.35294342,,,,,,,,
2521.0,30,97.64706421,43.13725662,,,,,,,,
2525.0,30,94.11764526,16.86274529,,,,,,,,
2504.5,30,95.6862793,40.0,,,,,,,,
2559.25,30,96.47058868,41.17647171,,,,,,,,
2587.5,30,96.47058868,43.13725662,,,,,,,,
2511.5,30,94.11764526,36.47058868,,,,,,,,
2463.25,31,87.05882263,30.19607925,,,,,,,,
2144.5,31,90.58823395,17.64705849,,,,,,,,
2461.5,31,91.76470947,32.15686417,,,,,,,,
2213.25,30,81.5686264,27.05882454,,,,,,,,
2492.75,30,85.88235474,30.58823586,,,,,,,,
2529.5,30,87.84313965,30.98039246,,,,,,,,
2254.5,30,87.84313965,18.03921509,,,,,,,,
2092.0,30,97.64706421,38.82352829,,,,,,,,
2137.5,30,96.86274719,39.2156868,,,,,,,,
2191.25,30,96.47058868,38.03921509,,,,,,,,
2503.0,30,94.90196228,35.68627548,,,,,,,,
2668.75,30,96.86274719,40.0,,,,,,,,
2230.25,30,80.39215851,25.49019623,,,,,,,,
2243.75,30,81.17647552,26.27450943,,,,,,,,
2479.5,30,83.13725281,27.05882454,,,,,,,,
2475.0,31,80.39215851,31.37254906,,,,,,,,
2728.75,31,96.07843018,38.4313736,,,,,,,,
2721.0,30,94.11764526,35.68627548,,,,,,,,
2098.25,31,90.98039246,30.58823586,,,,,,,,
2126.5,31,94.11764526,31.76470566,,,,,,,,
2143.75,31,94.50980377,32.54901886,,,,,,,,
2169.5,31,94.11764526,32.15686417,,,,,,,,
2024.0,31,81.5686264,27.45098114,,,,,,,,
2100.75,31,91.76470947,29.41176605,,,,,,,,
2494.5,31,95.29412079,38.4313736,,,,,,,,
2297.5,31,91.76470947,30.19607925,,,,,,,,
2403.0,31,94.50980377,36.86274719,,,,,,,,
2444.5,31,96.47058868,41.17647171,,,,,,,,
2467.75,31,92.15686798,36.07843018,,,,,,,,
2042.75,31,86.27451324,39.2156868,,,,,,,,
2587.5,31,96.47058868,40.7843132,,,,,,,,
2627.25,31,97.64706421,41.5686264,,,,,,,,
2664.75,31,98.4313736,45.88235474,,,,,,,,
2693.75,31,98.8235321,46.27450943,,,,,,,,
2730.25,31,98.8235321,46.66666794,,,,,,,,
2514.75,31,97.64706421,27.45098114,,,,,,,,
2612.5,31,87.45098114,30.19607925,,,,,,,,
2328.75,31,94.11764526,34.90196228,,,,,,,,
2374.0,31,94.11764526,35.29411697,,,,,,,,
2420.25,31,87.45098114,17.25490189,,,,,,,,
2432.75,31,90.58823395,18.4313736,,,,,,,,
2594.5,31,94.11764526,34.50980377,,,,,,,,
2623.25,31,91.37255096,20.3921566,,,,,,,,
2567.75,31,81.5686264,18.8235302,,,,,,,,
2441.25,31,90.98039246,29.01960754,,,,,,,,
2164.75,31,97.2549057,43.52941132,,,,,,,,
2238.25,31,96.07843018,22.35294151,,,,,,,,
2596.75,31,92.15686798,33.33333206,,,,,,,,
2562.5,31,93.72549438,36.07843018,,,,,,,,
2655.25,31,82.74510193,16.86274529,,,,,,,,
2635.0,31,93.72549438,37.25490189,,,,,,,,
2406.25,31,90.98039246,17.25490189,,,,,,,,
2744.5,30,93.72549438,34.90196228,,,,,,,,
1861.5,31,88.23529816,28.62745094,,,,,,,,
2446.0,31,95.29412079,37.64706039,,,,,,,,
2514.75,31,95.6862793,38.82352829,,,,,,,,
2052.25,31,81.5686264,16.47058868,,,,,,,,
2553.75,31,96.47058868,40.0,,,,,,,,
2571.75,31,93.33333588,23.92156982,,,,,,,,
2450.75,31,87.45098114,30.58823586,,,,,,,,
2458.5,31,87.84313965,30.98039246,,,,,,,,
2135.0,31,81.5686264,27.45098114,,,,,,,,
2052.25,31,87.05882263,27.45098114,,,,,,,,
1985.0,31,86.66667175,27.45098114,,,,,,,,
2431.25,31,90.98039246,31.37254906,,,,,,,,
2471.75,31,90.58823395,32.54901886,,,,,,,,
2519.5,31,90.19608307,30.19607925,,,,,,,,
2108.5,31,86.27451324,27.84313774,,,,,,,,
2494.5,31,85.09803772,36.47058868,,,,,,,,
2160.75,31,84.31372833,28.23529434,,,,,,,,
2497.5,31,90.98039246,32.15686417,,,,,,,,
2717.0,31,95.6862793,38.82352829,,,,,,,,
2564.75,31,92.94117737,32.54901886,,,,,,,,
2693.75,31,91.76470947,32.94117737,,,,,,,,
2718.75,31,85.49019623,31.37254906,,,,,,,,
2425.0,31,90.98039246,32.15686417,,,,,,,,
2471.75,31,87.45098114,27.05882454,,,,,,,,
2682.0,31,85.49019623,29.41176605,,,,,,,,
2476.5,31,80.78431702,28.62745094,,,,,,,,
2651.5,31,86.27451324,30.58823586,,,,,,,,
2623.25,31,90.58823395,25.88235283,,,,,,,,
2635.0,31,84.70588684,26.66666794,,,,,,,,
2470.25,31,89.41176605,20.7843132,,,,,,,,
2589.0,31,87.05882263,33.72549057,,,,,,,,
2321.75,31,92.54901886,31.76470566,,,,,,,,
2375.75,31,92.15686798,32.54901886,,,,,,,,
2418.75,31,90.98039246,32.15686417,,,,,,,,
1867.0,35,81.5686264,25.09803963,,,,,,,,
2078.0,35,87.05882263,27.84313774,,,,,,,,
2115.5,35,94.11764526,32.15686417,,,,,,,,
2125.75,35,94.11764526,35.68627548,,,,,,,,
2271.0,35,95.6862793,39.2156868,,,,,,,,
2340.5,36,96.86274719,42.74509811,,,,,,,,
2471.75,36,97.2549057,44.31372452,,,,,,,,
2552.25,36,97.2549057,44.70588303,,,,,,,,
2555.25,35,93.72549438,36.07843018,,,,,,,,
2306.25,35,97.2549057,42.74509811,,,,,,,,
2844.5,35,97.64706421,45.09804153,,,,,,,,
2968.75,35,95.6862793,42.35294342,,,,,,,,
2517.75,35,91.76470947,32.54901886,,,,,,,,
2607.0,35,96.86274719,40.7843132,,,,,,,,
2631.25,35,97.2549057,42.35294342,,,,,,,,
2592.75,35,96.86274719,43.13725662,,,,,,,,
2607.0,34,97.64706421,50.58823776,,,,,,,,
2632.75,34,98.03921509,49.41176605,,,,,,,,
2650.0,34,98.03921509,50.58823776,,,,,,,,
2660.75,34,98.4313736,50.58823776,,,,,,,,
2672.5,34,98.4313736,50.58823776,,,,,,,,
2736.5,33,99.21569061,50.58823776,,,,,,,,
2746.75,33,99.21569061,51.37255096,,,,,,,,
2739.0,33,98.8235321,50.19607925,,,,,,,,
2740.5,33,97.2549057,43.52941132,,,,,,,,
2769.5,33,97.2549057,45.09804153,,,,,,,,
2771.0,33,98.03921509,47.84313965,,,,,,,,
2806.25,33,98.03921509,47.45098114,,,,,,,,
2808.5,33,98.03921509,47.45098114,,,,,,,,
2832.0,33,97.2549057,47.05882263,,,,,,,,
2798.25,33,93.72549438,20.0,,,,,,,,
2496.0,33,84.70588684,29.41176605,,,,,,,,
2529.5,33,84.70588684,29.80392265,,,,,,,,
2685.75,33,88.62744904,30.98039246,,,,,,,,
2567.75,33,84.70588684,29.41176605,,,,,,,,
2587.5,33,85.88235474,29.80392265,,,,,,,,
2598.25,33,84.70588684,29.41176605,,,,,,,,
2616.25,33,82.74510193,28.62745094,,,,,,,,
2718.75,33,83.92156982,28.62745094,,,,,,,,
2414.0,33,85.49019623,29.41176605,,,,,,,,
2409.25,33,85.09803772,29.80392265,,,,,,,,
2403.0,33,87.05882263,40.7843132,,,,,,,,
2414.0,33,96.07843018,40.39215851,,,,,,,,
2423.25,32,96.07843018,40.39215851,,,,,,,,
2447.5,32,95.6862793,40.39215851,,,,,,,,
2717.0,32,88.23529816,30.58823586,,,,,,,,
2701.5,32,83.92156982,27.05882454,,,,,,,,
2471.75,32,83.52941132,29.01960754,,,,,,,,
2497.5,32,83.52941132,29.01960754,,,,,,,,
2517.75,32,83.52941132,29.01960754,,,,,,,,
2418.75,32,81.5686264,28.23529434,,,,,,,,
2432.75,31,81.17647552,27.84313774,,,,,,,,
2444.5,31,83.92156982,29.01960754,,,,,,,,
2455.25,31,83.52941132,29.01960754,,,,,,,,
2693.75,31,85.09803772,29.01960754,,,,,,,,
2672.5,31,81.96078491,28.62745094,,,,,,,,
2370.25,31,91.76470947,33.33333206,,,,,,,,
2375.75,31,92.15686798,33.33333206,,,,,,,,
2391.25,31,90.98039246,30.58823586,,,,,,,,
2617.75,31,82.74510193,28.62745094,,,,,,,,
2635.0,31,85.09803772,29.80392265,,,,,,,,
1265.5,31,91.37255096,26.27450943,,,,,,,,
2105.25,31,96.07843018,48.62745285,,,,,,,,
2625.75,31,98.03921509,55.68627548,,,,,,,,
2817.0,31,99.21569061,64.70588684,,,,,,,,
2273.25,32,84.70588684,28.62745094,,,,,,,,
2717.0,32,90.98039246,30.58823586,,,,,,,,
2964.0,32,87.05882263,30.19607925,,,,,,,,
2501.5,32,90.98039246,34.90196228,,,,,,,,
2657.0,32,91.76470947,31.76470566,,,,,,,,
2742.75,32,91.76470947,31.37254906,,,,,,,,
2156.25,32,91.76470947,33.72549057,,,,,,,,
2114.75,32,93.72549438,20.0,,,,,,,,
2313.25,32,93.33333588,34.50980377,,,,,,,,
2409.25,32,94.11764526,30.19607925,,,,,,,,
1942.75,32,90.19608307,27.45098114,,,,,,,,
2292.75,32,90.98039246,31.76470566,,,,,,,,
2228.75,32,97.64706421,45.09804153,,,,,,,,
2732.75,31,97.64706421,44.70588303,,,,,,,,
2311.5,31,88.23529816,29.80392265,,,,,,,,
2339.0,31,92.54901886,46.66666794,,,,,,,,
2817.0,31,98.03921509,49.80392075,,,,,,,,
2877.25,31,98.03921509,46.66666794,,,,,,,,
2695.25,31,96.47058868,16.47058868,,,,,,,,
2497.5,31,90.19608307,35.29411697,,,,,,,,
2449.0,31,97.2549057,45.88235474,,,,,,,,
2542.0,31,97.2549057,49.41176605,,,,,,,,
2545.25,31,96.47058868,45.09804153,,,,,,,,
2587.5,31,93.72549438,16.47058868,,,,,,,,
2536.5,31,94.50980377,38.4313736,,,,,,,,
2602.25,31,95.29412079,40.39215851,,,,,,,,
2594.5,31,94.50980377,35.29411697,,,,,,,,
2717.0,31,95.29412079,45.09804153,,,,,,,,
2007.0,32,82.74510193,16.47058868,,,,,,,,
2325.75,32,87.84313965,26.27450943,,,,,,,,
2086.5,32,95.29412079,34.50980377,,,,,,,,
2135.0,32,95.29412079,34.90196228,,,,,,,,
2203.0,31,94.50980377,37.25490189,,,,,,,,
2303.0,31,90.58823395,15.29411793,,,,,,,,
2171.75,31,90.19608307,29.01960754,,,,,,,,
2473.25,31,81.96078491,27.05882454,,,,,,,,
2253.0,31,82.35294342,27.05882454,,,,,,,,
2533.5,31,81.17647552,27.05882454,,,,,,,,
2324.0,31,84.31372833,28.23529434,,,,,,,,
2417.0,31,92.54901886,29.80392265,,,,,,,,
2578.75,31,95.6862793,36.47058868,,,,,,,,
2740.5,31,96.07843018,38.82352829,,,,,,,,
2324.0,31,81.5686264,30.98039246,,,,,,,,
2131.25,31,81.96078491,26.66666794,,,,,,,,
2110.0,31,88.62744904,29.80392265,,,,,,,,
2332.0,31,94.11764526,36.07843018,,,,,,,,
2500.0,31,94.50980377,38.03921509,,,,,,,,
2678.0,31,96.07843018,38.4313736,,,,,,,,
2915.5,31,95.6862793,40.0,,,,,,,,
2192.75,31,89.80392456,30.58823586,,,,,,,,
2367.0,31,87.05882263,30.19607925,,,,,,,,
2377.25,31,86.27451324,26.27450943,,,,,,,,
2152.25,31,88.23529816,29.41176605,,,,,,,,
2262.5,31,89.80392456,30.98039246,,,,,,,,
2290.5,31,88.23529816,30.19607925,,,,,,,,
2201.5,31,83.92156982,27.84313774,,,,,,,,
2034.25,31,93.33333588,34.50980377,,,,,,,,
2475.0,31,91.37255096,34.11764908,,,,,,,,
2496.0,31,85.49019623,16.07843208,,,,,,,,
2195.25,31,87.45098114,29.41176605,,,,,,,,
2228.0,31,87.84313965,29.41176605,,,,,,,,
2143.75,31,84.70588684,26.66666794,,,,,,,,
1725.0,31,82.74510193,24.70588303,,,,,,,,
1754.5,31,91.37255096,28.62745094,,,,,,,,
1791.25,31,88.62744904,27.84313774,,,,,,,,
1807.0,31,90.98039246,29.41176605,,,,,,,,
1859.25,31,90.98039246,29.41176605,,,,,,,,
1925.75,31,81.5686264,25.88235283,,,,,,,,
2310.0,31,83.13725281,27.84313774,,,,,,,,
2812.5,32,81.5686264,28.62745094,,,,,,,,
2320.25,32,92.94117737,31.76470566,,,,,,,,
2511.5,32,95.29412079,38.82352829,,,,,,,,
2783.5,32,95.29412079,38.4313736,,,,,,,,
2996.75,33,94.90196228,38.4313736,,,,,,,,
2571.75,32,88.62744904,27.45098114,,,,,,,,
1740.5,32,91.37255096,28.62745094,,,,,,,,
2389.75,32,94.90196228,35.29411697,,,,,,,,
2420.25,32,93.72549438,36.86274719,,,,,,,,
2452.25,32,93.33333588,37.25490189,,,,,,,,
2484.25,31,94.50980377,38.03921509,,,,,,,,
2426.5,31,94.11764526,36.47058868,,,,,,,,
1960.0,31,80.39215851,25.09803963,,,,,,,,
1871.0,31,84.31372833,27.45098114,,,,,,,,
2455.25,31,92.54901886,34.50980377,,,,,,,,
2139.75,32,84.70588684,29.80392265,,,,,,,,
2365.5,32,93.72549438,36.47058868,,,,,,,,
2457.0,32,92.15686798,36.47058868,,,,,,,,
2697.5,32,92.54901886,34.90196228,,,,,,,,
1940.5,33,83.52941132,26.66666794,,,,,,,,
2082.75,32,87.05882263,28.62745094,,,,,,,,
2108.5,32,85.09803772,27.84313774,,,,,,,,
1974.0,32,91.37255096,32.15686417,,,,,,,,
2065.5,32,94.50980377,34.50980377,,,,,,,,
2178.75,32,95.29412079,36.86274719,,,,,,,,
2215.5,32,95.6862793,37.64706039,,,,,,,,
2380.25,32,94.90196228,37.64706039,,,,,,,,
2403.0,31,92.94117737,34.50980377,,,,,,,,
2431.25,31,82.35294342,14.90196133,,,,,,,,
2275.0,32,92.15686798,33.72549057,,,,,,,,
2420.25,32,92.94117737,35.68627548,,,,,,,,
2501.5,32,90.19608307,33.33333206,,,,,,,,
2359.25,32,85.49019623,28.62745094,,,,,,,,
2482.75,33,90.58823395,32.94117737,,,,,,,,
2609.25,33,91.76470947,34.50980377,,,,,,,,
2271.0,32,82.35294342,27.84313774,,,,,,,,
2441.25,32,83.92156982,28.62745094,,,,,,,,
1724.0,32,80.39215851,25.49019623,,,,,,,,
2152.25,32,81.17647552,26.66666794,,,,,,,,
2141.25,32,80.78431702,25.88235283,,,,,,,,
2036.5,32,84.31372833,27.05882454,,,,,,,,
2079.5,32,82.74510193,26.66666794,,,,,,,,
2189.0,32,85.88235474,27.84313774,,,,,,,,
2203.0,32,81.5686264,30.98039246,,,,,,,,
2864.0,32,87.05882263,30.98039246,,,,,,,,
2767.0,32,85.88235474,27.45098114,,,,,,,,
2264.0,32,80.78431702,28.23529434,,,,,,,,
1996.0,32,81.17647552,25.88235283,,,,,,,,
2052.25,32,81.17647552,25.88235283,,,,,,,,
